#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
1,Mookie Betts,LAD,R,2B/OF,2B/SS/ OF,150,672,572,115.6,32.9,91.4,13.9,161.3,85.9,40.9,1.5,304.1,105.0,78.7,8.9,4.2,6.4,3.7,0.282,0.371,0.532,0.903,0.293,13611
2,Marcus Semien,TEX,R,2B,2B,150,663,590,100.2,26.6,79.7,15.4,157.1,96.7,30.5,3.2,273.9,108.1,58.6,4.8,4.2,6.2,4.4,0.266,0.332,0.464,0.796,0.284,12533
3,Kyle Schwarber,PHI,L,OF,OF,150,654,539,103.7,39.0,86.7,5.5,120.7,62.2,17.9,1.5,258.8,189.2,100.3,6.5,4.2,5.7,1.9,0.224,0.348,0.480,0.828,0.259,16478
4,Luis Arraez,MIA,L,2B,1B/2B,151,651,587,88.8,9.1,61.7,5.5,185.6,145.2,27.9,3.3,247.6,46.1,49.7,4.6,4.2,5.5,2.2,0.316,0.368,0.422,0.790,0.329,650333
5,Trea Turner,PHI,R,SS,SS,150,648,590,88.2,21.1,78.3,23.9,164.4,106.0,33.6,3.7,268.6,128.7,44.6,5.1,4.6,4.0,5.2,0.278,0.331,0.455,0.786,0.322,16252
6,Juan Soto,NYY,L,OF,OF,151,648,509,109.3,37.4,103.2,11.2,144.9,77.5,28.5,1.4,288.4,104.6,124.2,3.9,4.7,3.2,4.3,0.284,0.421,0.567,0.988,0.289,665742
7,Julio Rodriguez,SEA,R,OF,OF,151,648,580,98.3,32.0,89.6,30.1,163.1,89.8,38.9,2.5,302.8,147.3,49.8,9.2,4.6,4.2,10.2,0.282,0.342,0.522,0.864,0.324,677594
8,Ketel Marte,ARI,S,2B,2B,150,647,568,89.8,20.2,76.6,6.9,156.5,100.6,29.6,6.0,258.8,111.7,64.9,5.9,4.6,4.0,2.5,0.275,0.351,0.455,0.807,0.309,13613
9,Freddie Freeman,LAD,L,1B,1B,150,647,557,97.1,25.3,95.3,12.5,167.8,99.9,41.0,1.5,287.8,109.7,72.6,9.3,4.8,2.2,4.0,0.301,0.386,0.517,0.903,0.334,5361
10,Paul Goldschmidt,STL,R,1B,1B,150,647,554,92.3,26.2,82.5,7.8,148.9,92.0,30.1,0.6,258.8,147.6,78.7,5.2,4.7,3.5,2.6,0.269,0.359,0.467,0.826,0.319,9218
