#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
1,Framber Valdez,HOU,SP,L,30.8,30.8,18.7,781.4,187.9,14.4,6.6,0,0,3.41,3.35,1.22,192.7,60.8,168.4,9.5,71.3,78.9,16,56.7,23.3,20.0,0.299,664285
2,Zack Wheeler,PHI,SP,R,30.8,30.8,18.2,760.9,184.8,12.7,7.9,0,0,3.54,3.64,1.15,184.5,43.9,168.8,8.8,72.1,78.5,23,43.9,36.2,19.9,0.293,10310
3,Chris Bassitt,TOR,SP,R,30.8,30.8,16.4,788.2,184.8,12.4,8.9,0,0,4.18,4.19,1.28,164.7,57.4,179.2,10.1,87.4,94.2,26,43.3,36.2,20.5,0.288,12304
4,Luis Castillo,SEA,SP,R,30.8,30.8,17.4,779.3,184.8,12.6,8.3,0,0,3.78,3.74,1.20,195.7,56.7,165.6,7.2,79.0,85.6,24,43.6,36.5,19.9,0.282,15689
5,Aaron Nola,PHI,SP,R,30.8,30.8,17.6,765.3,184.8,12.5,8.3,0,0,3.79,3.68,1.15,188.5,41.6,171.2,6.5,77.2,83.5,26,42.5,37.2,20.3,0.288,16149
6,Zac Gallen,ARI,SP,R,30.8,30.8,17.5,773.8,184.8,12.5,8.3,0,0,3.78,3.77,1.21,190.7,51.2,172.2,7.7,78.1,84.5,22,42.1,37.8,20.1,0.300,668678
7,Logan Gilbert,SEA,SP,R,30.8,30.8,16.9,772.8,184.8,12.4,8.7,0,0,3.99,3.88,1.17,184.5,44.1,172.4,6.2,83.6,89.7,28,39.0,41.0,20.0,0.279,669302
8,George Kirby,SEA,SP,R,30.8,30.8,17.5,765.3,184.8,12.6,8.3,0,0,3.74,3.63,1.13,178.7,32.0,177.2,7.6,78.3,84.7,25,43.2,36.8,20.0,0.288,669923
9,Logan Webb,SF,SP,R,29.8,29.8,17.8,761.0,181.8,12.1,8.3,0,0,3.48,3.30,1.21,163.0,40.4,179.4,7.3,72.3,79.9,16,55.5,24.1,20.4,0.306,657277
10,Jose Berrios,TOR,SP,R,30.8,30.8,16.4,772.6,181.7,12.1,8.6,0,0,4.08,4.12,1.25,171.0,51.0,176.2,9.5,83.9,90.4,26,41.7,38.0,20.2,0.289,14168
11,Merrill Kelly,ARI,SP,R,30.8,30.8,16.4,776.7,181.7,11.9,8.8,0,0,4.13,4.19,1.31,172.5,64.6,173.3,5.7,84.0,90.6,23,42.5,37.2,20.4,0.296,518876
12,Miles Mikolas,STL,SP,R,30.8,30.8,15.0,762.8,178.6,11.8,9.0,0,0,4.53,4.63,1.32,128.3,40.0,195.9,7.2,91.5,98.1,27,42.1,37.3,20.6,0.302,571945
13,Kevin Gausman,TOR,SP,R,29.8,29.8,17.4,726.7,175.8,12.2,7.4,0,0,3.43,3.38,1.15,202.6,47.6,153.8,4.7,68.4,74.1,22,40.6,39.6,19.9,0.291,14107
14,Pablo Lopez,MIN,SP,R,29.2,29.2,17.3,725.2,175.2,11.9,7.6,0,0,3.42,3.46,1.16,192.8,47.9,156.2,8.0,68.7,74.7,20,44.3,35.8,19.9,0.298,641154
15,Mitch Keller,PIT,SP,R,29.2,29.2,15.9,745.6,175.2,11.1,8.9,0,0,4.12,4.20,1.31,161.9,61.5,167.6,9.5,80.3,86.8,21,45.0,35.0,20.0,0.302,656605
16,Corbin Burnes,BAL,SP,R,29.2,29.2,16.8,737.5,175.2,11.8,7.9,0,0,3.70,3.53,1.18,183.2,55.0,151.1,8.2,72.3,78.6,21,45.2,35.0,19.8,0.279,669203
17,Kyle Gibson,STL,SP,R,29.8,29.8,15.1,748.9,172.8,11.5,8.4,0,0,4.30,4.49,1.38,137.3,56.2,182.9,7.7,84.2,91.2,22,48.0,31.4,20.6,0.307,10123
18,Justin Steele,CHC,SP,L,29.2,29.2,16.4,707.1,169.4,10.9,8.0,0,0,3.68,3.88,1.27,162.6,52.1,163.1,7.0,69.5,75.9,19,48.4,31.2,20.4,0.309,657006
19,Spencer Strider,ATL,SP,R,29.2,29.2,17.6,689.3,169.4,13.5,5.0,0,0,3.21,3.07,1.07,234.9,56.0,125.4,7.2,59.8,64.5,19,35.9,44.9,19.2,0.283,675911
20,Max Fried,ATL,SP,L,28.5,28.5,16.5,703.5,168.2,13.2,5.5,0,0,3.59,3.67,1.23,159.7,41.8,165.0,6.3,66.3,72.8,18,49.7,30.0,20.2,0.306,608331
21,Kyle Hendricks,CHC,SP,R,29.2,29.2,13.7,721.3,166.4,9.9,9.5,0,0,4.72,4.83,1.37,116.3,42.7,185.8,7.3,87.4,93.8,26,43.2,35.6,21.2,0.302,12049
22,Zach Eflin,TB,SP,R,29.2,29.2,16.0,690.1,166.4,11.0,7.5,0,0,3.70,3.71,1.17,160.3,32.5,161.9,5.9,69.3,75.3,21,45.1,34.4,20.5,0.295,13774
23,Lance Lynn,STL,SP,R,29.2,29.2,14.5,711.6,166.4,11.0,8.2,0,0,4.31,4.40,1.29,153.0,52.5,161.8,7.9,81.2,86.9,25,38.9,40.8,20.3,0.292,2520
24,Bobby Miller,LAD,SP,R,29.2,29.2,15.5,703.6,166.4,11.8,6.9,0,0,3.85,3.72,1.23,165.3,49.9,154.8,7.9,72.7,78.9,22,46.4,34.0,19.6,0.288,676272
25,Tanner Bibee,CLE,SP,R,29.2,29.2,14.8,707.1,166.4,10.2,8.8,0,0,4.19,4.25,1.26,164.6,51.9,157.7,6.6,78.3,83.8,26,36.8,43.1,20.1,0.285,676440
26,Dylan Cease,SD,SP,R,30.8,30.8,15.4,712.8,166.3,10.1,8.4,0,0,3.87,4.04,1.31,191.4,70.1,147.6,7.1,73.7,79.3,22,37.9,42.4,19.7,0.294,656302
27,Yoshinobu Yamamoto,LAD,SP,R,28.5,28.5,15.6,689.9,165.3,11.9,6.7,0,0,3.75,3.56,1.17,181.1,44.8,148.8,6.3,70.4,75.9,24,40.7,39.4,19.8,0.285,808967
28,Cole Ragans,KC,SP,L,27.5,27.5,15.6,700.5,165.0,10.6,8.0,0,0,3.91,4.09,1.29,170.8,69.6,142.7,6.1,69.9,75.7,19,41.3,39.1,19.6,0.291,666142
29,Joe Ryan,MIN,SP,R,29.2,29.2,15.0,683.1,163.5,10.3,8.2,0,0,3.94,3.99,1.16,179.4,43.2,146.1,7.3,74.0,78.6,25,31.6,48.2,20.2,0.282,657746
30,Brayan Bello,BOS,SP,R,29.2,29.2,15.0,698.9,163.5,10.2,8.2,0,0,4.32,4.31,1.36,138.6,55.5,166.9,6.4,73.3,80.1,18,51.5,28.5,20.0,0.311,678394
31,Shane Bieber,CLE,SP,R,27.5,27.5,15.1,687.0,162.3,10.4,8.0,0,0,3.93,3.89,1.25,155.6,42.9,160.3,5.4,71.4,77.5,21,46.1,33.4,20.5,0.298,669456
32,Blake Snell,SF,SP,L,29.2,29.2,15.7,682.2,160.6,9.9,7.8,0,0,3.55,3.39,1.22,202.9,72.4,123.4,4.8,65.1,70.6,17,40.5,40.0,19.5,0.276,13543
33,Freddy Peralta,MIL,SP,R,29.2,29.2,15.6,670.7,160.6,9.9,7.8,0,0,3.73,3.79,1.19,192.3,56.3,134.6,7.3,65.7,70.8,22,38.4,41.8,19.8,0.281,642547
34,Marcus Stroman,NYY,SP,R,29.8,29.8,14.5,679.2,157.9,10.6,7.1,0,0,4.07,4.03,1.33,134.3,50.2,159.5,5.9,71.3,78.0,19,51.8,27.7,20.6,0.297,13431
35,Dean Kremer,BAL,SP,R,29.2,29.2,13.5,677.7,157.7,9.4,8.6,0,0,4.48,4.58,1.33,134.6,51.1,159.1,6.4,78.6,84.3,25,40.1,39.7,20.3,0.292,665152
36,JP Sears,OAK,SP,L,29.2,29.2,13.2,676.1,157.7,8.2,9.9,0,0,4.43,4.52,1.28,143.7,51.6,149.8,8.5,80.4,85.4,26,34.3,45.4,20.2,0.277,676664
37,Grayson Rodriguez,BAL,SP,R,29.2,29.2,15.5,659.1,157.7,10.0,7.3,0,0,3.59,3.78,1.23,170.4,55.0,139.4,5.6,63.0,68.6,19,43.6,36.9,19.5,0.296,680570
38,Joe Musgrove,SD,SP,R,27.5,27.5,14.6,661.3,156.8,10.0,7.6,0,0,3.83,3.92,1.22,155.8,41.3,150.1,10.3,68.6,74.2,21,43.2,36.5,20.3,0.295,12970
39,Yu Darvish,SD,SP,R,27.5,27.5,14.1,658.9,156.8,9.9,8.0,0,0,4.08,4.09,1.23,161.5,43.1,149.0,8.0,73.2,78.3,24,38.5,41.4,20.0,0.293,13074
40,Ranger Suarez,PHI,SP,L,27.5,27.5,14.5,673.3,156.8,10.1,7.6,0,0,4.04,4.31,1.38,135.0,58.1,158.8,5.4,69.7,76.1,18,50.0,29.7,20.4,0.309,624133
41,Josiah Gray,WSH,SP,R,29.2,29.2,11.6,686.2,154.8,7.5,10.8,0,0,5.23,5.28,1.45,139.7,70.1,154.3,7.4,88.8,94.2,28,35.8,44.0,20.2,0.287,680686
42,Bryce Miller,SEA,SP,R,29.2,29.2,13.1,663.3,154.8,9.3,8.4,0,0,4.44,4.45,1.27,141.6,41.8,154.2,7.4,77.7,83.0,26,37.8,42.1,20.1,0.283,682243
43,Graham Ashcraft,CIN,SP,R,27.5,27.5,13.1,671.2,154.0,9.2,8.5,0,0,4.84,4.78,1.43,119.0,54.8,166.1,8.4,77.5,84.1,22,50.3,29.6,20.1,0.304,668933
44,Patrick Corbin,WSH,SP,L,27.5,27.5,12.4,670.4,154.0,8.1,9.9,0,0,4.91,4.96,1.43,109.7,49.6,170.4,5.3,83.2,89.3,25,45.2,34.2,20.7,0.304,9323
45,Cristian Javier,HOU,SP,R,29.2,29.2,12.5,654.9,151.8,10.0,7.5,0,0,4.67,4.56,1.28,163.9,59.5,134.4,7.0,79.0,83.3,27,26.9,53.0,20.2,0.265,664299
46,Jon Gray,TEX,SP,R,27.5,27.5,13.6,644.6,151.3,9.5,7.6,0,0,4.34,4.44,1.31,144.7,51.5,146.4,7.3,70.1,75.6,22,42.5,37.6,19.9,0.294,14916
47,Brady Singer,KC,SP,R,27.5,27.5,13.4,650.4,151.3,8.8,8.4,0,0,4.39,4.49,1.36,122.9,45.9,160.2,8.0,72.1,78.1,18,48.0,31.5,20.4,0.316,663903
48,Jesus Luzardo,MIA,SP,L,27.5,27.5,14.5,637.8,151.3,9.1,7.7,0,0,3.80,3.87,1.22,170.7,52.6,131.5,6.2,63.4,68.4,19,39.4,41.0,19.6,0.292,666200
49,Shota Imanaga,CHC,SP,L,27.5,27.5,14.4,631.1,151.3,9.2,7.6,0,0,3.82,3.96,1.22,153.7,41.1,144.2,5.4,64.4,69.5,20,41.5,37.5,21.0,0.301,684007
50,Reid Detmers,LAA,SP,L,28.5,28.5,13.6,644.2,151.1,9.1,7.9,0,0,4.26,4.34,1.31,161.6,59.0,138.7,8.4,70.1,75.0,23,37.3,42.7,20.0,0.292,672282
51,Jose Quintana,NYM,SP,L,25.9,25.9,13.1,655.3,150.2,9.8,7.5,0,0,4.27,4.41,1.40,127.0,52.5,157.5,4.9,73.3,79.3,20,44.6,34.7,20.8,0.302,11423
52,Justin Verlander,HOU,SP,R,25.9,25.9,13.4,632.8,150.2,10.8,6.4,0,0,4.22,4.20,1.21,143.6,39.6,142.7,5.9,70.6,75.4,24,35.8,43.9,20.3,0.279,8700
